name,height,reach,dob,url
Ashley Yoder,"5' 7""","69""","Oct 20, 1987",http://ufcstats.com/fighter-details/b4c6c904a9ffc5e8
James Reese,"5' 9""",--,"Dec 21, 1980",http://ufcstats.com/fighter-details/e9ec08ebb3f92aa3
Rustam Khabilov,"5' 8""","73""","Nov 04, 1986",http://ufcstats.com/fighter-details/9b7694d064a8a0ad
John Kuhner,--,--,"Oct 12, 1982",http://ufcstats.com/fighter-details/a272656ad662ac53
Nicolle Caliari,"5' 3""","62""","Nov 04, 1996",http://ufcstats.com/fighter-details/fc0a4053eb8a3a59
Marcio Cruz,"6' 4""",--,"Apr 24, 1978",http://ufcstats.com/fighter-details/6aa1cbc1466e9a0b
Cyril Asker,"6' 0""","74""","Dec 24, 1985",http://ufcstats.com/fighter-details/9be6020024133293
Brian Melancon,"5' 8""",--,"May 28, 1982",http://ufcstats.com/fighter-details/eee7dafac7d672b5
JJ Aldrich,"5' 5""","67""","Sep 29, 1992",http://ufcstats.com/fighter-details/6fd953151d981979
Jesse Ronson,"5' 10""","70""","Dec 24, 1985",http://ufcstats.com/fighter-details/5580771f383e141f
Andrew Craig,"6' 1""","76""","Jan 15, 1986",http://ufcstats.com/fighter-details/8a70ceb3edbe757b
Jack Becker,"5' 10""","71""","Dec 20, 1992",http://ufcstats.com/fighter-details/b5a379583673510a
Will Santiago,"5' 7""",--,"Feb 08, 1983",http://ufcstats.com/fighter-details/4920292f5d9b76df
Geraldo de Freitas,"5' 7""","72""","Sep 30, 1991",http://ufcstats.com/fighter-details/9cfbfae5fa1fdd93
Jinensibieke Asikeerbai,"5' 6""","69""","Jul 10, 1988",http://ufcstats.com/fighter-details/4eccb78d628b2238
Joey Villasenor,"6' 0""",--,"Oct 17, 1975",http://ufcstats.com/fighter-details/15515e797aedc137
Floyd Sword,"6' 0""",--,"Aug 24, 1976",http://ufcstats.com/fighter-details/5330fe7e4c3af81c
Alex Pereira,"6' 4""","79""","Jul 07, 1987",http://ufcstats.com/fighter-details/e5549c82bfb5582d
Drew Pendleton,--,--,"Dec 08, 1983",http://ufcstats.com/fighter-details/34b634cb2471bdde
Rami Hamed,"6' 1""","71""","Apr 25, 1991",http://ufcstats.com/fighter-details/a59017211b775b5d
Jairzinho Rozenstruik,"6' 2""","78""","Mar 17, 1988",http://ufcstats.com/fighter-details/2cd428e9606856fd
Jay Perrin,"5' 7""","67""","Jun 15, 1993",http://ufcstats.com/fighter-details/01fed6f61ebea01f
Dave Rickels,"5' 11""",--,"Jan 05, 1989",http://ufcstats.com/fighter-details/98b76850b5f1e836
Ron Waterman,"6' 2""",--,"Nov 23, 1965",http://ufcstats.com/fighter-details/efaf544314bb5c2e
Chris Dempsey,"5' 10""","72""","Sep 08, 1987",http://ufcstats.com/fighter-details/dfae5da5676e4194
Mallory Martin,"5' 4""","63""","Jan 29, 1994",http://ufcstats.com/fighter-details/19b7738321cfae42
Chris Daukaus,"6' 3""","76""","Sep 25, 1989",http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45
Juan Manuel Puig,"5' 9""",--,"Apr 23, 1989",http://ufcstats.com/fighter-details/85d0fafb8b75d634
Cub Swanson,"5' 8""","70""","Nov 02, 1983",http://ufcstats.com/fighter-details/d247691a6c0e9034
Darion Abbey,"6' 2""","80""","Feb 25, 1993",http://ufcstats.com/fighter-details/4961467134abd8be
Daniel Allen,"6' 0""","75""","Aug 10, 1992",http://ufcstats.com/fighter-details/adf9a901308fb8e3
Michael Aswell Jr.,"5' 8""","69""","Sep 27, 2000",http://ufcstats.com/fighter-details/01c9e4013afce141
Antonio Rodrigo Nogueira,"6' 3""","77""","Jun 02, 1976",http://ufcstats.com/fighter-details/ee9d73f4fee9cbdd
Greg Wilson,--,--,"Oct 02, 1988",http://ufcstats.com/fighter-details/9cc84087ee768342
Mike Guymon,"6' 0""","74""","Sep 17, 1974",http://ufcstats.com/fighter-details/eaea0fc7b76525a8
Shamil Abdurakhimov,"6' 3""","76""","Sep 02, 1981",http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Ibragim Magomedov,"6' 0""",--,"Jun 08, 1975",http://ufcstats.com/fighter-details/e7e970d508529bf3
Jorge de Oliveira,"5' 8""",--,"Jan 22, 1980",http://ufcstats.com/fighter-details/ddf3e0ea10ea6d8c
Anthony Rocco Martin,"6' 0""","73""","Dec 11, 1989",http://ufcstats.com/fighter-details/5331b25a60417ffb
Kestutis Smirnovas,"5' 10""",--,"Apr 08, 1976",http://ufcstats.com/fighter-details/1979c80150f630c4
Paul Felder,"5' 11""","70""","Apr 25, 1984",http://ufcstats.com/fighter-details/e5010b1b94ca5755
Erick Montano,"6' 0""","73""","Nov 19, 1985",http://ufcstats.com/fighter-details/8163cd7de0342652
Paul Varelans,"6' 8""",--,"Sep 17, 1969",http://ufcstats.com/fighter-details/07a18ae55dfc3cd9
Chris Condo,"6' 0""",--,--,http://ufcstats.com/fighter-details/41e77dc504a192c6
Chris Weidman,"6' 2""","78""","Jun 17, 1984",http://ufcstats.com/fighter-details/3a8176e15b9887c1
John Hosman,"5' 10""",--,"Nov 13, 1980",http://ufcstats.com/fighter-details/57591bbf1623574e
Francimar Barroso,"6' 1""","75""","Feb 28, 1980",http://ufcstats.com/fighter-details/b69f24c500d783e7
Steven Peterson,"5' 10""","70""","May 29, 1990",http://ufcstats.com/fighter-details/b93c06d09d1c4ac0
Alex Schoenauer,"6' 3""",--,"May 05, 1976",http://ufcstats.com/fighter-details/fdfef29ba17ee525
Aaron Ely,"5' 8""",--,"Mar 18, 1989",http://ufcstats.com/fighter-details/1741343f0ca34dd5
Dokonjonosuke Mishima,"5' 7""",--,"Apr 19, 1972",http://ufcstats.com/fighter-details/b14a68c533f4a4aa
Alen Amedovski,"5' 10""","74""","Apr 06, 1988",http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Theo Haig,"6' 2""","77""","Aug 23, 1996",http://ufcstats.com/fighter-details/8a213af406eb2dd4
Antonio McKee,"5' 8""",--,"Mar 12, 1970",http://ufcstats.com/fighter-details/3414b50b08a10600
Alejandro Villalobos,"5' 7""",--,"Oct 26, 1979",http://ufcstats.com/fighter-details/2e88f2030d8a928a
Jeff Terry,"6' 2""",--,--,http://ufcstats.com/fighter-details/60f86c449cd31e23
Victor Valimaki,"6' 0""",--,"Dec 17, 1981",http://ufcstats.com/fighter-details/663b76da637402c3
Melvin Guillard,"5' 9""","71""","Mar 30, 1983",http://ufcstats.com/fighter-details/ccd1299e0345e0ce
Angelo Antonio,--,--,"Oct 04, 1998",http://ufcstats.com/fighter-details/dbd198f780286aca
Del Hawkins,"5' 5""",--,--,http://ufcstats.com/fighter-details/885e7f70dcac0007
Brennan Ward,"5' 10""","71""","Jun 28, 1988",http://ufcstats.com/fighter-details/67cd6495280b0a57
Jeremy May,"6' 1""",--,"Oct 23, 1986",http://ufcstats.com/fighter-details/c32fdfe75cda5b22
Mike Rodriguez,"6' 4""","82""","Nov 28, 1988",http://ufcstats.com/fighter-details/18b602842a24f7c5
Michiyoshi Ohara,"5' 10""",--,"Nov 15, 1967",http://ufcstats.com/fighter-details/6a8a06b542e1516d
Robert Whiteford,"5' 9""","69""","Apr 12, 1983",http://ufcstats.com/fighter-details/1dafccb62a0f98ec
Angela Hill,"5' 3""","64""","Jan 12, 1985",http://ufcstats.com/fighter-details/f0feeb2192937424
Jordan Wright,"6' 2""","77""","Oct 07, 1991",http://ufcstats.com/fighter-details/c878270af633eb11
Bartosz Szewczyk,"6' 4""","73""","Sep 18, 1997",http://ufcstats.com/fighter-details/224050896306f00c
Eddie Yagin,"5' 7""",--,"Mar 23, 1979",http://ufcstats.com/fighter-details/cc84b68f862b466f
Rafa Garcia,"5' 7""","70""","Aug 05, 1994",http://ufcstats.com/fighter-details/e132d47bd9efbbe0
Waylon Lowe,"5' 7""",--,"Oct 31, 1980",http://ufcstats.com/fighter-details/28f62d866c59c709
Bekzat Almakhan,"5' 7""","68""","Oct 08, 1997",http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
Fabio Maldonado,"6' 1""","75""","Mar 17, 1980",http://ufcstats.com/fighter-details/1fb80f46d3c105d9
Demba Seck,"6' 1""","74""","Jul 07, 1993",http://ufcstats.com/fighter-details/b9af9f8834e39d3e
Emmanuel Yarborough,"6' 8""",--,"Sep 05, 1960",http://ufcstats.com/fighter-details/2299605af59fd309
Regina Malpica Rivera,--,--,"Oct 19, 2004",http://ufcstats.com/fighter-details/9f5609dba6584ab2
Wes Shivers,"6' 8""",--,"Mar 08, 1977",http://ufcstats.com/fighter-details/ad863b0d57952c57
Roan Carneiro,"5' 11""","76""","Jun 02, 1978",http://ufcstats.com/fighter-details/1c86754617d9813a
Lerryan Douglas,"5' 9""","72""","Apr 27, 1995",http://ufcstats.com/fighter-details/640a0f838f057a81
Andrew Martinez,"5' 9""",--,--,http://ufcstats.com/fighter-details/f8c2aba4815876b5
Alexandr Romanov,"6' 2""","75""","Dec 11, 1990",http://ufcstats.com/fighter-details/c0badf3243907e59
Justin Sumter,"6' 2""","80""","Nov 16, 1989",http://ufcstats.com/fighter-details/31f9a1f56cbb6ac5
Mandy Bohm,"5' 7""","71""","Jul 30, 1989",http://ufcstats.com/fighter-details/297a2b35444c245b
Josh Clopton,"5' 6""",--,"Jul 11, 1981",http://ufcstats.com/fighter-details/48e96d9cea6d4ab0
Davey Grant,"5' 8""","69""","Dec 18, 1985",http://ufcstats.com/fighter-details/113df4fde64735c6
Goldman Butler,--,--,--,http://ufcstats.com/fighter-details/e2d5072048b825b1
Cory Peterson,"6' 11""",--,"Feb 04, 1979",http://ufcstats.com/fighter-details/5df10509264586e5
Andre Ewell,"5' 8""","75""","Jan 21, 1988",http://ufcstats.com/fighter-details/5f6f049d54728e88
Jordan Parsons,"5' 9""",--,"Aug 26, 1990",http://ufcstats.com/fighter-details/8b2a18d3c6735083
Kenichi Yamamoto,"6' 0""",--,"Jul 11, 1976",http://ufcstats.com/fighter-details/9f488f520ed25bbf
Vicente Luque,"5' 11""","75""","Nov 27, 1991",http://ufcstats.com/fighter-details/6d4b63c767106d3a
Kennedy Nzechukwu,"6' 5""","83""","Jun 13, 1992",http://ufcstats.com/fighter-details/8667caa0451d245b
Caros Fodor,"5' 9""","74""","Jan 07, 1984",http://ufcstats.com/fighter-details/01d2ed8c502e3828
Aleksander Emelianenko,"6' 6""",--,"Aug 02, 1981",http://ufcstats.com/fighter-details/f54200f1dfb9b5d4
Sebastian Szalay,"5' 6""","66""","Feb 03, 1994",http://ufcstats.com/fighter-details/f201f21cf2c79eb2
David Hulett,"5' 10""",--,"Sep 07, 1980",http://ufcstats.com/fighter-details/b0718335e9868cfd
Connor Matthews,"5' 8""","71""","May 31, 1992",http://ufcstats.com/fighter-details/36e78278a77006d4
Kazushi Sakuraba,"6' 0""",--,"Jul 14, 1969",http://ufcstats.com/fighter-details/9b5b5a75523728f3
Roman Mitichyan,"5' 10""",--,"Sep 04, 1978",http://ufcstats.com/fighter-details/2961be02cfb0d2c1
Sean O'Malley,"5' 11""","72""","Oct 24, 1994",http://ufcstats.com/fighter-details/b50a426a33da0012
Nick Pica,"5' 10""",--,--,http://ufcstats.com/fighter-details/7922e8269adcc25a
Neemias Santana,"6' 2""","76""","Jul 10, 1996",http://ufcstats.com/fighter-details/86989ee8fe97884d
Justin Levens,"5' 11""",--,"Apr 18, 1980",http://ufcstats.com/fighter-details/8c3f3c43c8ceb778
Jan Blachowicz,"6' 2""","78""","Feb 24, 1983",http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
Bob Gilstrap,"6' 3""",--,--,http://ufcstats.com/fighter-details/c96518b7f6881004
Cheyden Leialoha,"5' 8""","73""","Mar 15, 1994",http://ufcstats.com/fighter-details/98cbbc06074c68a4
Daniel Barez,"5' 6""","66""","Dec 10, 1988",http://ufcstats.com/fighter-details/e8fe9c15d348e778
Murtaza Talha,"6' 0""","74""","Jul 10, 1996",http://ufcstats.com/fighter-details/6aab5c20395ee722
Hamid Amiri,--,--,"Jun 15, 2003",http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Marcin Wrzosek,"5' 9""",--,"Oct 14, 1987",http://ufcstats.com/fighter-details/aac6edb0d5e0b7e9
Tim Kennedy,"5' 11""","74""","Sep 01, 1979",http://ufcstats.com/fighter-details/3c660c90d48fc80d
Ken Cross,"6' 0""","72""","Oct 04, 1994",http://ufcstats.com/fighter-details/923767209632e08a
Jamahal Hill,"6' 4""","79""","May 19, 1991",http://ufcstats.com/fighter-details/5444c5a201d3ee5a
Nate Moore,"6' 0""",--,"Apr 06, 1983",http://ufcstats.com/fighter-details/518e5202a91980d4
Brad Imes,"6' 7""",--,"Mar 13, 1977",http://ufcstats.com/fighter-details/4908c5ee68a50ee5
Won Sik Park,"5' 11""",--,"Dec 16, 1986",http://ufcstats.com/fighter-details/9df394db5ca103eb
Karl Reed,"6' 3""","78""","Oct 27, 1988",http://ufcstats.com/fighter-details/11337d069261bf3a
Craig White,"6' 2""","76""","Jul 01, 1990",http://ufcstats.com/fighter-details/3dd949593346dbc3
Vagner Rocha,"5' 10""","73""","Jun 06, 1982",http://ufcstats.com/fighter-details/d403b1a6f278c95e
Jason Black,"5' 8""",--,"Jul 15, 1972",http://ufcstats.com/fighter-details/b2f743746e8dcfa2
Alex Ricci,"5' 11""",--,"Jul 21, 1982",http://ufcstats.com/fighter-details/bf9bc96336922271
Ashiek Ajim,"5' 8""","71""","Jun 19, 1994",http://ufcstats.com/fighter-details/49dea784f6cfed71
Mostapha Al-Turk,"6' 2""","77""","Jul 14, 1973",http://ufcstats.com/fighter-details/1cf1310684a841f5
Rashard Lovelace,--,--,--,http://ufcstats.com/fighter-details/e601d71cf8e5be22
Spencer Hearns,"5' 11""",--,--,http://ufcstats.com/fighter-details/d85cf12439945941
Claudionor Fontinelle,"5' 5""",--,--,http://ufcstats.com/fighter-details/7a82635ffa9b59fe
Losene Keita,"5' 8""","72""","Dec 30, 1997",http://ufcstats.com/fighter-details/5b43d68174b6e2ab
Steven Siler,"5' 11""","70""","Feb 15, 1987",http://ufcstats.com/fighter-details/d188a3b817860ec6
Yin Shuai,"5' 5""","66""","Jan 01, 1997",http://ufcstats.com/fighter-details/a78dc3910554dbae
Brodie Farber,"6' 1""",--,"Jul 05, 1980",http://ufcstats.com/fighter-details/91d73ee59347ac16
Misha Cirkunov,"6' 3""","77""","Feb 27, 1987",http://ufcstats.com/fighter-details/67f272324a030d00
Marcus Davis,"5' 10""","70""","Aug 24, 1973",http://ufcstats.com/fighter-details/b7d524c77c27389b
Rodrigo Lidio,"5' 11""","73""","Jul 07, 1989",http://ufcstats.com/fighter-details/11b5a809c3120e27
Johnny Munoz,"5' 9""","71""","Feb 16, 1993",http://ufcstats.com/fighter-details/f6bcbd91b114ff58
Agulali,"5' 9""","67""","Apr 07, 2005",http://ufcstats.com/fighter-details/b2efa582adf73604
Bertrand Amoussou,"5' 8""",--,"May 28, 1966",http://ufcstats.com/fighter-details/53adf5b845d91e4a
Pedro Rizzo,"6' 1""",--,"May 03, 1974",http://ufcstats.com/fighter-details/b44f39a5c6596953
Chad Vance,"6' 0""",--,--,http://ufcstats.com/fighter-details/26d61e92a6069cd2
Kristof Midoux,"6' 1""",--,"Jul 30, 1974",http://ufcstats.com/fighter-details/5b5b9c6f6f270369
Joey Gambino,"5' 7""",--,"Oct 26, 1988",http://ufcstats.com/fighter-details/10559c53de0b950e
Kazunori Yokota,"5' 8""",--,"Apr 03, 1978",http://ufcstats.com/fighter-details/a8e8587a06e73c87
Devin Cole,"6' 4""",--,"Oct 01, 1976",http://ufcstats.com/fighter-details/1174782eacde9b0c
Alexander Otsuka,"6' 1""",--,"Jul 17, 1971",http://ufcstats.com/fighter-details/865aa315ea62c511
Junior Albini,"6' 3""","74""","Mar 15, 1991",http://ufcstats.com/fighter-details/c482c8605455a213
Wade Shipp,"6' 3""",--,"Feb 09, 1975",http://ufcstats.com/fighter-details/a9a314cc77d90b6e
Bob Sapp,"6' 5""",--,"Sep 22, 1974",http://ufcstats.com/fighter-details/9f3d6ddef3d3cccc
Dom Mar Fan,"5' 11""","75""","Mar 19, 2000",http://ufcstats.com/fighter-details/530af2900b5a1693
Jay Cucciniello,"5' 7""",--,"Jul 23, 1986",http://ufcstats.com/fighter-details/683ea28a198936fe
Jason Blackford,--,--,--,http://ufcstats.com/fighter-details/619d807fa54ae8f7
Antonio Duarte,"5' 7""",--,"Mar 10, 1987",http://ufcstats.com/fighter-details/29b5d32584e02d8d
Virna Jandiroba,"5' 3""","64""","May 30, 1988",http://ufcstats.com/fighter-details/7dda2cf308f24a02
Christina Marks,"5' 7""","69""","Nov 08, 1985",http://ufcstats.com/fighter-details/c7be22a47a58365a
Damon Jackson,"5' 11""","71""","Aug 08, 1988",http://ufcstats.com/fighter-details/29af297d9f1de0f8
Eric Martin,--,--,--,http://ufcstats.com/fighter-details/abbc4fc02e0d84b3
Nicholas Musoke,"6' 0""","75""","Apr 05, 1986",http://ufcstats.com/fighter-details/8b5f9ea38184ded3
Adrian Yanez,"5' 7""","70""","Nov 29, 1993",http://ufcstats.com/fighter-details/0232cabbc30a2372
Brett Albee,--,--,--,http://ufcstats.com/fighter-details/9b28292abe3166d5
Cathal Pendred,"6' 1""","75""","Sep 02, 1987",http://ufcstats.com/fighter-details/99c7610aa74995d3
Micol Di Segni,"5' 3""","60""","Dec 29, 1987",http://ufcstats.com/fighter-details/8126e4dff0cdf69e
Lee Murray,"6' 3""",--,"Sep 12, 1977",http://ufcstats.com/fighter-details/32016899d0a222a3
Raquel Pa'aluhi,"5' 7""",--,"Oct 14, 1990",http://ufcstats.com/fighter-details/373be586f370d400
Max Griffin,"5' 11""","76""","Nov 29, 1985",http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d
Dae Won Kim,"5' 11""",--,"Nov 01, 1979",http://ufcstats.com/fighter-details/354808cf38d9d73c
Quemuel Ottoni,"6' 0""","72""","Oct 22, 1992",http://ufcstats.com/fighter-details/7ce21433c2a53168
Adam Yandiev,"5' 9""","74""","Aug 07, 1988",http://ufcstats.com/fighter-details/0a95c474e61a6c44
Terrion Ware,"5' 8""","71""","Mar 31, 1986",http://ufcstats.com/fighter-details/ba5e253af86db1a8
Eddy Millis,"6' 1""",--,"Aug 04, 1967",http://ufcstats.com/fighter-details/f2c934689243fe4e
Claude Patrick,"5' 11""","75""","Jun 14, 1980",http://ufcstats.com/fighter-details/56116a79e4deed06
Jesse Taylor,"6' 0""","73""","Jan 02, 1983",http://ufcstats.com/fighter-details/dd992d569aaebee6
Mayra Bueno Silva,"5' 6""","66""","Aug 22, 1991",http://ufcstats.com/fighter-details/cc8c623cca88f54f
Cody East,"6' 3""",--,"Jun 29, 1988",http://ufcstats.com/fighter-details/5713c1d2fac539ac
Quang Le,"5' 7""","70""","Oct 18, 1991",http://ufcstats.com/fighter-details/32feae6d9a1e5047
Amir Albazi,"5' 5""","68""","Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brad Riddell,"5' 7""","71""","Sep 30, 1991",http://ufcstats.com/fighter-details/37ed1ab2f8b819f4
Jack May,"6' 8""",--,"Apr 14, 1981",http://ufcstats.com/fighter-details/2c6e81426dd7573c
Steve Bosse,"5' 11""","72""","Jul 29, 1981",http://ufcstats.com/fighter-details/e023fa2e648ea0f1
Roshan Mainam,--,--,--,http://ufcstats.com/fighter-details/b301292b1bc92bdb
Pedro Rocha,--,--,--,http://ufcstats.com/fighter-details/5921fd3f889afa3b
Hunter Worsham,--,--,--,http://ufcstats.com/fighter-details/8fb808fc2e145bd6
Lewis Gonzalez,"5' 10""",--,"Sep 19, 1987",http://ufcstats.com/fighter-details/2ff2e6e5abea3e53
Claudio Puelles,"5' 10""","72""","Apr 21, 1996",http://ufcstats.com/fighter-details/d747eb273a40a920
Hakeem Dawodu,"5' 8""","73""","Jul 02, 1991",http://ufcstats.com/fighter-details/2c9d00968f818270
Giacomo Lemos,"6' 3""","75""","Jun 23, 1989",http://ufcstats.com/fighter-details/f37822d5b3e47517
Ronaldo Rodriguez,"5' 6""","65""","May 07, 1999",http://ufcstats.com/fighter-details/f2900678e98f6d6a
Paul Craig,"6' 3""","76""","Nov 27, 1987",http://ufcstats.com/fighter-details/eabf206b162b3b83
Mansher Khera,"5' 10""","68""","Apr 15, 1992",http://ufcstats.com/fighter-details/4bbd1e5c77ef3c2f
Tim McKenzie,"6' 0""","74""","Jul 21, 1982",http://ufcstats.com/fighter-details/9ca265dfe8323db3
Francisco Rivera,"5' 8""","70""","Oct 08, 1981",http://ufcstats.com/fighter-details/7ea4a9f07df33a45
Brandon Sene,"5' 11""",--,"May 21, 1981",http://ufcstats.com/fighter-details/3ed134d85dfbd7b4
Chris Spang,"6' 2""",--,"Nov 26, 1987",http://ufcstats.com/fighter-details/411d012af19ecb59
Chris Ewert,"6' 0""","75""","Sep 06, 1993",http://ufcstats.com/fighter-details/54c2576b7f2f1f57
Jimi Manuwa,"6' 1""","79""","Feb 18, 1980",http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e
Lucas Lopes,"6' 2""",--,"Oct 05, 1979",http://ufcstats.com/fighter-details/1f70dd67ad507990
Humberto Brown Morrison,"5' 10""",--,"Nov 03, 1984",http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
Chad Griggs,"6' 1""","73""","May 15, 1978",http://ufcstats.com/fighter-details/fdf18227faa596dd
Taylor Lapilus,"5' 6""","73""","Apr 08, 1992",http://ufcstats.com/fighter-details/8b1ed83b02303075
Jessica Eye,"5' 6""","66""","Jul 27, 1986",http://ufcstats.com/fighter-details/f72465a784c1b084
Istela Nunes,"5' 4""","66""","Jul 23, 1992",http://ufcstats.com/fighter-details/efc67b07eed39794
Antonio Silva,"6' 4""","82""","Sep 14, 1979",http://ufcstats.com/fighter-details/8349d55cdecd393a
Martin Svensson,"6' 1""",--,"Apr 25, 1985",http://ufcstats.com/fighter-details/bcad7223af3c19da
Brian Kelleher,"5' 6""","66""","Aug 19, 1986",http://ufcstats.com/fighter-details/7be14eaed4c74856
Nate Maness,"5' 10""","72""","Jun 27, 1991",http://ufcstats.com/fighter-details/6e9f40c706f91f32
Zhou Kun,--,--,--,http://ufcstats.com/fighter-details/d027fff39a34a9df
Pat Curran,"5' 9""",--,"Aug 31, 1987",http://ufcstats.com/fighter-details/d8291d0dd63da29c
Courtney Turner,"6' 2""",--,--,http://ufcstats.com/fighter-details/56f4b81ec4db61af
Gadzhimurad Antigulov,"5' 11""","70""","Feb 09, 1987",http://ufcstats.com/fighter-details/af997f7611673880
Dongi Yang,"5' 10""","73""","Dec 07, 1984",http://ufcstats.com/fighter-details/aed06011bf62237b
John Gunderson,"5' 9""","69""","Jan 05, 1979",http://ufcstats.com/fighter-details/a0c139b34f11421a
Ashkan Mokhtarian,"5' 6""","67""","Sep 15, 1985",http://ufcstats.com/fighter-details/e9bc5748e6a76bb6
Askar Mozharov,"6' 3""","74""","Oct 26, 1994",http://ufcstats.com/fighter-details/e92901944ce91909
Nasrudin Nasrudinov,"6' 0""","71""","Oct 06, 1991",http://ufcstats.com/fighter-details/769fa803bf9d2e3b
Santiago Luna,"5' 9""","74""","Aug 06, 2004",http://ufcstats.com/fighter-details/faf317c665546a36
Benoit Saint Denis,"5' 11""","73""","Dec 18, 1995",http://ufcstats.com/fighter-details/c2299ec916bc7c56
Fabiola Pidroni,--,--,"Jan 04, 1994",http://ufcstats.com/fighter-details/9561eb5f0d63ffcc
Gaetano Pirrello,"5' 7""","65""","Apr 29, 1992",http://ufcstats.com/fighter-details/8765559b6a29a421
Xavier Franklin,"5' 6""","66""","Oct 15, 1996",http://ufcstats.com/fighter-details/90957a918e26bf9c
Igor Gracie,"5' 11""",--,"Feb 04, 1980",http://ufcstats.com/fighter-details/722b870449243083
Neil Seery,"5' 4""","64""","Aug 30, 1979",http://ufcstats.com/fighter-details/49a74b9fb2e45fdf
Ben Sosoli,"6' 0""","72""","Dec 10, 1989",http://ufcstats.com/fighter-details/326f94d6cfb1bf25
Naho Sugiyuma,"5' 1""",--,"Feb 03, 1978",http://ufcstats.com/fighter-details/b205d4f2ff44bc89
Garett Whiteley,"6' 0""","72""","Dec 13, 1980",http://ufcstats.com/fighter-details/129537073431e52e
Michael Graves,"5' 10""","71""","Jan 08, 1991",http://ufcstats.com/fighter-details/3f1d23b01c552a13
Toby Misech,"5' 8""",--,"Mar 07, 1988",http://ufcstats.com/fighter-details/3f87218a7aca84c4
Ernest Chavez,"5' 8""","70""","Jun 27, 1983",http://ufcstats.com/fighter-details/b406da701c479076
Mike Davis,"6' 0""","72""","Oct 07, 1992",http://ufcstats.com/fighter-details/fb3e61720be4690c
Kayla Harrison,"5' 8""","66""","Jul 02, 1990",http://ufcstats.com/fighter-details/1af1170ed937cba7
Stevie Ray,"5' 10""","70""","Mar 25, 1990",http://ufcstats.com/fighter-details/31a13532e724ca2b
John Salter,"6' 1""","74""","Mar 21, 1985",http://ufcstats.com/fighter-details/010986ee359fb863
Ernie Verdicia,"5' 11""",--,--,http://ufcstats.com/fighter-details/2b1587a3376ab743
Kyle Nelson,"5' 11""","71""","Apr 20, 1991",http://ufcstats.com/fighter-details/31f8081c7600da93
Aoriqileng,"5' 7""","69""","Jun 25, 1993",http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Jonathan Brookins,"6' 0""","74""","Aug 13, 1985",http://ufcstats.com/fighter-details/b0a6124751a56bc4
Robert Lucarelli,"6' 2""",--,--,http://ufcstats.com/fighter-details/96087e90d900f0ef
Kiyoshi Tamura,"5' 11""",--,"Dec 17, 1969",http://ufcstats.com/fighter-details/30e8b4505f5ccf92
Kailin Curran,"5' 4""","65""","Apr 11, 1991",http://ufcstats.com/fighter-details/05b43e0ead3df345
Paulo Costa,"6' 1""","72""","Apr 21, 1991",http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82
Joe Wilk,"5' 9""",--,"Apr 12, 1982",http://ufcstats.com/fighter-details/781014fb7e8e647a
Patrick Smith,"6' 2""",--,"Aug 28, 1963",http://ufcstats.com/fighter-details/46c8ec317aff28ac
Raphael Butler,"6' 3""",--,"Jan 04, 1984",http://ufcstats.com/fighter-details/f941505e35fb1eae
Elisha Ellison,"6' 0""","78""","Mar 05, 1997",http://ufcstats.com/fighter-details/87e4a3a5080ee7ce
Marcio Alexandre Junior,"6' 0""","75""","May 05, 1989",http://ufcstats.com/fighter-details/d53482bef23235ba
Jack Della Maddalena,"5' 11""","73""","Sep 10, 1996",http://ufcstats.com/fighter-details/6b453bc35a823c3f
Ralph Gracie,"5' 9""",--,"May 25, 1971",http://ufcstats.com/fighter-details/a9c45a8b21eabadc
Corinne Laframboise,"5' 4""","65""","May 25, 1989",http://ufcstats.com/fighter-details/fbe9f4efc2153be2
Chris Brennan,"5' 8""",--,"Oct 12, 1971",http://ufcstats.com/fighter-details/b19fc66613dc75b9
Joe Soto,"5' 6""","65""","Mar 22, 1987",http://ufcstats.com/fighter-details/a4e85a58fbce64b2
Josh Hendricks,"6' 2""",--,"Aug 28, 1976",http://ufcstats.com/fighter-details/7649c4c95b824488
Garrett Gross,"5' 9""",--,"Aug 08, 1988",http://ufcstats.com/fighter-details/6741218640534d8b
Eric Magana,--,--,--,http://ufcstats.com/fighter-details/8db1b36dde268ef6
Gugun Gusman,"5' 7""","68""","Mar 03, 1990",http://ufcstats.com/fighter-details/e34e3b1fffa13a6a
Carlos Ulberg,"6' 4""","77""","Nov 07, 1990",http://ufcstats.com/fighter-details/9014c02eff8b3d62
John Castaneda,"5' 6""","71""","Dec 18, 1991",http://ufcstats.com/fighter-details/5fa2974cbd18e05c
Emil Meek,"5' 11""","74""","Aug 20, 1988",http://ufcstats.com/fighter-details/103b06d8707895a9
