name,record,height,weight,reach,stance,dob,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,url
Jordan Dowdy,4-3-0,--,170 lbs.,--,,--,:2.11,:44%,:2.63,:50%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/0d9312337fdce39a
Lone'er Kavanagh,9-1-0,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 09, 1999",:4.29,:49%,:3.69,:58%,:1.79,:50%,:88%,:0.4,http://ufcstats.com/fighter-details/bb2c3c3a466224af
Kyoji Horiguchi,19-2-0,"5' 5""",125 lbs.,"66""",Orthodox,"Oct 12, 1990",:3.60,:45%,:2.45,:62%,:2.00,:44%,:55%,:0.0,http://ufcstats.com/fighter-details/98aa60cf58071fd6
Max Martyniouk,1-1-0,--,155 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/69d3fa376ff2595e
Aurelijus Kerpe,11-22-0,--,--,--,Orthodox,--,:1.26,:16%,:8.21,:31%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/c1e4ae143cce7398
Brian Cobb,20-9-0,"5' 11""",155 lbs.,--,Orthodox,"Sep 03, 1980",:0.00,:0%,:3.68,:55%,:5.81,:50%,:0%,:0.0,http://ufcstats.com/fighter-details/3138fab619faf4d1
Jasmine Jasudavicius,14-3-0,"5' 7""",125 lbs.,"68""",Orthodox,"Mar 01, 1989",:3.71,:45%,:3.63,:51%,:2.61,:44%,:75%,:0.6,http://ufcstats.com/fighter-details/a9e260472d321361
Rudyard Moncayo,0-3-0,"5' 10""",195 lbs.,--,Orthodox,"May 17, 1973",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/02d276b7d62b3472
Devin Johnson,1-1-1,--,--,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/22f4b6cb6b1bd7fd
Tokitaka Nakanishi,12-4-0,"5' 6""",135 lbs.,"66""",Orthodox,"Jul 28, 1996",:1.10,:44%,:1.57,:45%,:3.00,:37%,:0%,:0.0,http://ufcstats.com/fighter-details/eb9446a4f44e19cf
HyunSung Park,10-1-0,"5' 7""",125 lbs.,"66""",Orthodox,"Nov 04, 1995",:3.66,:46%,:2.94,:59%,:1.59,:33%,:50%,:2.4,http://ufcstats.com/fighter-details/b671bdf981ad527d
Minoru Toyonaga,2-5-0,"5' 11""",195 lbs.,--,Southpaw,"Jun 12, 1978",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/04076783ca83d6ae
Joanna Jedrzejczyk,16-5-0,"5' 6""",115 lbs.,"65""",Orthodox,"Aug 18, 1987",:6.28,:48%,:3.25,:62%,:0.27,:62%,:80%,:0.1,http://ufcstats.com/fighter-details/3d6749c4267da18f
Valmir Lazaro,15-5-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985",:4.87,:37%,:4.09,:61%,:1.33,:40%,:96%,:0.0,http://ufcstats.com/fighter-details/777dea713da2441d
Ho Bae Myeon,13-5-1,"5' 11""",168 lbs.,--,Orthodox,"Nov 01, 1986",:3.16,:16%,:3.16,:83%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/2719f300b0439039
AJ Siscoe,1-2-0,"5' 7""",135 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/fce9b4056a8ef559
Lance Gibson,4-5-0,"5' 9""",185 lbs.,--,Orthodox,"Nov 20, 1970",:1.21,:75%,:6.44,:20%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/63eedfcc73071d41
Damian Grabowski,20-5-0,"6' 1""",241 lbs.,"75""",Orthodox,"May 12, 1980",:4.00,:36%,:7.65,:51%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/3f11b5d4bd76a6d9
Brock Lesnar,5-3-0 (1 NC),"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",:3.53,:72%,:2.11,:50%,:3.90,:55%,:60%,:0.5,http://ufcstats.com/fighter-details/513c6f1715e547a8
Zak Cummings,25-7-0,"6' 0""",205 lbs.,"75""",Southpaw,"Aug 02, 1984",:2.96,:35%,:2.91,:55%,:0.62,:28%,:66%,:0.6,http://ufcstats.com/fighter-details/4ba8d454f762005d
Kenny Giddens,12-7-0,"5' 11""",155 lbs.,--,,"Jan 24, 1985",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/db8b800176d26f6e
Adam Milstead,8-4-0,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987",:3.85,:46%,:4.79,:43%,:0.00,:0%,:64%,:0.0,http://ufcstats.com/fighter-details/72ffecf712673af1
Yura Naito,6-1-0,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 26, 1996",:1.22,:44%,:5.33,:28%,:1.67,:9%,:0%,:0.0,http://ufcstats.com/fighter-details/50c469e0cb73be10
Themba Gorimbo,14-5-0,"6' 1""",170 lbs.,"77""",Orthodox,"Jan 23, 1991",:3.15,:61%,:1.09,:56%,:4.81,:65%,:82%,:0.6,http://ufcstats.com/fighter-details/40f3cb27fc7305a1
John Phillips,22-11-0 (1 NC),"5' 11""",185 lbs.,"75""",Southpaw,"Jun 09, 1985",:1.72,:34%,:4.03,:49%,:0.00,:0%,:7%,:0.0,http://ufcstats.com/fighter-details/e9ac7bfb65c25497
Robert Peralta,18-8-0 (1 NC),"5' 8""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",:3.76,:44%,:2.97,:53%,:0.59,:66%,:65%,:0.0,http://ufcstats.com/fighter-details/960d6cae8879ba2b
Mauricio Rua,27-14-1,"6' 1""",205 lbs.,"76""",Orthodox,"Nov 25, 1981",:3.57,:50%,:2.79,:54%,:2.01,:48%,:49%,:0.7,http://ufcstats.com/fighter-details/140745cbbcb023ac
Josh Shockley,11-4-0,"6' 1""",155 lbs.,--,Orthodox,"Nov 15, 1989",:1.40,:33%,:1.75,:60%,:0.00,:0%,:61%,:0.8,http://ufcstats.com/fighter-details/1d36f1ac66cf689d
Ding Meng,34-9-0,"6' 2""",170 lbs.,"73""",Orthodox,"Sep 27, 1994",:3.40,:50%,:3.87,:48%,:1.00,:50%,:0%,:0.0,http://ufcstats.com/fighter-details/e0664abaa023fd6f
Thaddeus Luster,0-1-0,"6' 3""",210 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/505934897b8b4824
Iuri Alcantara,35-10-0 (1 NC),"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",:2.72,:45%,:2.79,:49%,:1.44,:62%,:60%,:0.8,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Bryce Mejia,3-1-0,"6' 1""",170 lbs.,--,,--,:3.49,:62%,:6.98,:50%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/6eae26c44e505775
Raul Rosas Jr.,11-1-0,"5' 9""",135 lbs.,"67""",Switch,"Oct 08, 2004",:1.51,:44%,:1.37,:50%,:4.01,:41%,:0%,:1.1,http://ufcstats.com/fighter-details/fe2babf95de24fb1
Bristol Marunde,16-10-0,"6' 1""",170 lbs.,"75""",Orthodox,"Apr 20, 1982",:1.42,:21%,:4.40,:47%,:1.60,:33%,:14%,:0.0,http://ufcstats.com/fighter-details/a17322f99ddfd8e9
Paulo Thiago,18-9-0,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 25, 1981",:1.71,:39%,:1.99,:63%,:1.42,:31%,:63%,:1.2,http://ufcstats.com/fighter-details/30a09e43f15f1d75
Jong Wang Kim,13-23-0,"6' 1""",240 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/380e8b023290d091
Rafael Rebello,9-4-0,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 16, 1980",:2.19,:32%,:3.29,:58%,:2.82,:33%,:75%,:0.5,http://ufcstats.com/fighter-details/972197a8c61ac413
Erick Silva,19-9-0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"Jun 21, 1984",:2.50,:48%,:4.18,:49%,:0.85,:35%,:56%,:1.4,http://ufcstats.com/fighter-details/5866fc86183a9fb8
Gabe Lemley,13-9-0,"5' 8""",155 lbs.,--,Orthodox,--,:0.82,:35%,:6.03,:45%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/fd4578cac86d75ca
Ricardo Ramos,17-7-0,"5' 9""",145 lbs.,"72""",Orthodox,"Aug 01, 1995",:2.97,:36%,:4.06,:54%,:2.57,:57%,:70%,:0.7,http://ufcstats.com/fighter-details/1ae8f3c723aacff4
Bryan Battle,13-2-0 (1 NC),"6' 1""",185 lbs.,"77""",Orthodox,"Sep 21, 1994",:5.12,:52%,:4.11,:44%,:0.77,:17%,:53%,:0.4,http://ufcstats.com/fighter-details/f626118b6da0e020
Steve Mensing,9-13-2 (1 NC),"5' 11""",185 lbs.,--,Orthodox,"Dec 06, 1977",:0.00,:0%,:9.51,:42%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/3bc27ec15facbcf3
Hamid Amiri,9-0-0,--,145 lbs.,--,,"Jun 15, 2003",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Rami Hamed,13-3-0,"6' 1""",170 lbs.,"71""",Orthodox,"Apr 25, 1991",:3.87,:51%,:3.40,:50%,:0.00,:0%,:50%,:0.0,http://ufcstats.com/fighter-details/a59017211b775b5d
Gan McGee,13-5-0,"6' 10""",265 lbs.,--,Orthodox,"Nov 20, 1976",:2.20,:29%,:2.31,:59%,:0.65,:25%,:83%,:0.0,http://ufcstats.com/fighter-details/d90b630e0561818b
Jair Farias,10-1-0,"6' 1""",145 lbs.,"76""",Orthodox,"Mar 16, 1993",:3.80,:39%,:5.33,:51%,:0.00,:0%,:41%,:0.0,http://ufcstats.com/fighter-details/431262bbc69215dc
Constantinos Philippou,13-5-0 (1 NC),"5' 11""",185 lbs.,"73""",Orthodox,"Nov 29, 1979",:2.19,:35%,:2.73,:54%,:0.40,:42%,:65%,:0.3,http://ufcstats.com/fighter-details/05560764359161e4
Sean O'Connell,17-9-0,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 02, 1983",:5.46,:48%,:6.77,:45%,:0.00,:0%,:30%,:0.5,http://ufcstats.com/fighter-details/cb52f9490c2dc069
Carlos Felipe,11-2-0,"6' 0""",245 lbs.,"75""",Orthodox,"Jan 12, 1995",:4.88,:45%,:5.60,:50%,:0.00,:0%,:72%,:0.0,http://ufcstats.com/fighter-details/a2ea77e974c5889f
Koya Kanda,12-5-0,"5' 9""",145 lbs.,"75""",Southpaw,"Dec 20, 1995",:3.63,:41%,:2.90,:53%,:2.00,:18%,:100%,:0.0,http://ufcstats.com/fighter-details/b42d3a1469dab722
Steve Hadsel,3-0-0,"5' 8""",170 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/99793cf88c5adeee
Kron Gracie,5-3-0,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",:2.95,:42%,:5.73,:51%,:0.35,:25%,:0%,:0.7,http://ufcstats.com/fighter-details/242d36d241b43c12
Luke Hartwig,0-1-0,--,--,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/34f3869747bf8fa9
Fabio Maldonado,23-11-0,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",:5.29,:58%,:4.31,:53%,:0.44,:57%,:61%,:0.6,http://ufcstats.com/fighter-details/1fb80f46d3c105d9
Viktor Pesta,10-4-0,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 15, 1990",:1.58,:36%,:2.54,:56%,:3.29,:28%,:100%,:0.0,http://ufcstats.com/fighter-details/202b0467521c9d6f
Robert Ruchala,11-2-0,"5' 8""",145 lbs.,"72""",Switch,"May 15, 1998",:2.27,:35%,:3.27,:57%,:2.00,:33%,:0%,:0.0,http://ufcstats.com/fighter-details/92aed9d16794f42b
Keiichiro Nakamura,7-1-0,"5' 10""",145 lbs.,"70""",Southpaw,"Dec 02, 1998",:5.22,:43%,:3.39,:66%,:0.00,:0%,:83%,:0.0,http://ufcstats.com/fighter-details/3618e0632ecdba9c
Gary Padilla,12-6-0,"5' 11""",205 lbs.,--,,"May 04, 1980",:2.20,:27%,:2.00,:76%,:0.00,:0%,:50%,:0.0,http://ufcstats.com/fighter-details/01dd4cdc2446f665
Evan Tanner,32-8-0,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",:3.05,:59%,:2.64,:56%,:2.55,:43%,:25%,:1.3,http://ufcstats.com/fighter-details/8f2d9ee27f206f1f
Art Arciniega,15-7-0,"5' 8""",145 lbs.,--,,"Oct 15, 1981",:1.53,:46%,:2.73,:51%,:0.00,:0%,:50%,:1.0,http://ufcstats.com/fighter-details/d25e39e74efb0a77
David Kaplan,3-4-0,"5' 7""",155 lbs.,--,Orthodox,"Nov 16, 1979",:2.88,:46%,:4.32,:67%,:4.88,:43%,:0%,:0.7,http://ufcstats.com/fighter-details/5669b828e7e11329
David Gardner,18-21-0,"5' 11""",155 lbs.,--,Orthodox,"May 17, 1977",:0.17,:100%,:0.34,:0%,:0.00,:0%,:66%,:0.0,http://ufcstats.com/fighter-details/70167689d6a01793
Leon Edwards,22-5-0 (1 NC),"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",:2.62,:54%,:2.42,:53%,:1.18,:36%,:63%,:0.4,http://ufcstats.com/fighter-details/f1fac969a1d70b08
Alan Hiro,14-5-4,"5' 5""",135 lbs.,--,Orthodox,"Apr 04, 1986",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/483b3170b3c05cf0
Cristiano Marcello,13-6-0,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977",:2.56,:33%,:3.61,:58%,:0.44,:11%,:20%,:0.9,http://ufcstats.com/fighter-details/ff4c3ab594c7fac3
Jonatas Novaes,13-5-0,"5' 11""",170 lbs.,--,,"Mar 02, 1981",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/9e8e5c529057fe60
Matt Ramirez,2-3-0,"5' 5""",125 lbs.,--,,--,:3.03,:50%,:0.67,:75%,:2.53,:16%,:100%,:0.0,http://ufcstats.com/fighter-details/96c05ba5ab9eccaf
Luke Rockhold,16-6-0,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 17, 1984",:4.10,:49%,:2.68,:53%,:0.70,:29%,:65%,:1.0,http://ufcstats.com/fighter-details/00e11b5c8b7bfeeb
Josh Smith,9-8-0,"6' 0""",155 lbs.,--,Orthodox,"Jul 02, 1982",:0.73,:28%,:1.40,:54%,:0.00,:0%,:57%,:2.0,http://ufcstats.com/fighter-details/f626aa1c85f8af03
Hecher Sosa,13-1-0,"5' 9""",135 lbs.,"70""",Orthodox,"Aug 25, 1995",:2.13,:50%,:0.87,:55%,:4.00,:36%,:100%,:2.0,http://ufcstats.com/fighter-details/ec3bd30378d63dd1
Karla Benitez,14-11-1 (1 NC),"5' 3""",113 lbs.,--,,"Feb 15, 1979",:0.00,:0%,:2.40,:57%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/6104730621ff318d
Jorge Gonzalez,16-4-0,"6' 2""",205 lbs.,"76""",Orthodox,"Feb 29, 1984",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/ff175a137b395e2b
Paula Luna,5-3-0,"5' 2""",125 lbs.,"62""",Orthodox,"Jul 05, 1999",:0.65,:50%,:6.20,:17%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/5b1effb0db45273a
Askar Mozharov,19-13-0,"6' 3""",205 lbs.,"74""",Orthodox,"Oct 26, 1994",:0.43,:18%,:4.07,:13%,:0.00,:0%,:33%,:0.0,http://ufcstats.com/fighter-details/e92901944ce91909
Sean Gannon,2-1-0,"6' 3""",265 lbs.,--,Southpaw,--,:0.00,:0%,:6.38,:28%,:0.00,:0%,:50%,:0.0,http://ufcstats.com/fighter-details/6d7886b094b471ac
Quillan Salkilld,9-1-0,"6' 0""",155 lbs.,"75""",Orthodox,"Dec 28, 1999",:5.48,:59%,:3.46,:45%,:8.41,:37%,:100%,:0.5,http://ufcstats.com/fighter-details/17734443a833cdf7
Livinha Souza,14-4-0,"5' 3""",115 lbs.,"63""",Orthodox,"Mar 11, 1991",:1.75,:45%,:3.60,:56%,:2.54,:45%,:40%,:1.4,http://ufcstats.com/fighter-details/dab8cfbb6b1db10a
Nick Ertl,8-6-0,"5' 9""",155 lbs.,--,,"Oct 29, 1968",:1.34,:69%,:1.59,:41%,:1.88,:50%,:0%,:0.0,http://ufcstats.com/fighter-details/74061adb224be3cc
Gabriel Silva,8-2-0,"5' 6""",135 lbs.,"71""",Orthodox,"Aug 26, 1994",:1.30,:34%,:3.47,:45%,:1.50,:25%,:38%,:0.5,http://ufcstats.com/fighter-details/002ca196477ce572
Scott Baker,1-1-0,"6' 0""",210 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/7d5b12de1625984e
Stephen Thompson,17-9-1,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",:4.05,:46%,:3.00,:54%,:0.23,:35%,:63%,:0.0,http://ufcstats.com/fighter-details/4a28cb716c19157a
Gadzhimurad Antigulov,20-8-0,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",:2.08,:55%,:4.21,:40%,:5.08,:36%,:0%,:1.4,http://ufcstats.com/fighter-details/af997f7611673880
Loma Lookboonmee,10-4-0,"5' 1""",115 lbs.,"61""",Orthodox,"Jan 18, 1996",:3.67,:55%,:2.52,:53%,:1.81,:50%,:68%,:0.1,http://ufcstats.com/fighter-details/4e30e4250cb08b61
Josh Hendricks,19-11-0 (1 NC),"6' 2""",235 lbs.,--,Southpaw,"Aug 28, 1976",:0.98,:20%,:11.80,:29%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/7649c4c95b824488
Jhonoven Pati,6-4-0,"6' 1""",185 lbs.,"75""",Switch,"Aug 29, 1990",:2.88,:53%,:6.13,:33%,:2.70,:100%,:0%,:0.0,http://ufcstats.com/fighter-details/6b16024d44eb03a2
Steve Judson,0-2-0,"5' 11""",230 lbs.,--,Orthodox,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/6ece1d2ab1bed31d
Dan Hooker,24-12-0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",:5.03,:48%,:4.72,:51%,:0.73,:34%,:78%,:0.3,http://ufcstats.com/fighter-details/193b9d1858bc4df3
Christian Leroy Duncan,12-2-0,"6' 2""",185 lbs.,"79""",Switch,"Jul 24, 1995",:4.83,:59%,:2.94,:51%,:0.22,:11%,:71%,:0.0,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
Yair Rodriguez,21-6-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Oct 06, 1992",:4.65,:46%,:3.78,:52%,:0.71,:29%,:59%,:0.6,http://ufcstats.com/fighter-details/cbf5e6f231b55443
Melvin Guillard,32-18-2 (3 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Mar 30, 1983",:2.96,:40%,:1.85,:66%,:1.30,:63%,:61%,:0.2,http://ufcstats.com/fighter-details/ccd1299e0345e0ce
Cody Chovancek,9-0-0,"5' 8""",135 lbs.,"67""",Switch,"Jul 24, 1998",:2.85,:50%,:2.46,:51%,:0.00,:0%,:83%,:0.0,http://ufcstats.com/fighter-details/3c4320a1b6106611
Lolohea Mahe,10-4-1,--,--,--,,--,:1.71,:29%,:6.92,:40%,:2.44,:40%,:0%,:0.0,http://ufcstats.com/fighter-details/fb0b6593cec84356
Edimilson Souza,15-5-0,"6' 0""",145 lbs.,"74""",Orthodox,"Oct 17, 1984",:4.65,:44%,:2.91,:58%,:0.00,:0%,:50%,:0.0,http://ufcstats.com/fighter-details/6c7020b859c7a3ce
Lloyd Van Dams,0-1-0,"6' 1""",240 lbs.,--,Southpaw,"Mar 05, 1972",:0.00,:0%,:3.01,:15%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/02177caefe7c07d4
Mateusz Gamrot,25-3-0 (1 NC),"5' 10""",155 lbs.,"70""",Southpaw,"Dec 11, 1990",:3.35,:51%,:3.04,:59%,:5.33,:36%,:90%,:0.1,http://ufcstats.com/fighter-details/72db2a14ffa73ece
Jeremy Boczulak,0-2-0,--,--,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
Bryan Humes,6-2-0,--,265 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/b9c75e7fc910f587
Mitch Raposo,9-3-0,"5' 5""",125 lbs.,"64""",Switch,"Oct 16, 1998",:1.62,:33%,:3.20,:55%,:3.54,:37%,:50%,:0.0,http://ufcstats.com/fighter-details/0be6776db31d98ec
Eric Magana,1-1-0,--,--,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/8db1b36dde268ef6
Maciej Jewtuszko,12-3-0,"6' 0""",155 lbs.,--,Southpaw,"Jan 31, 1981",:2.29,:45%,:1.39,:66%,:0.00,:0%,:42%,:0.9,http://ufcstats.com/fighter-details/6b5b9be990774f0e
Tai Bowden,1-1-0,"5' 11""",230 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86
Thiago Moises,19-9-0,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",:2.48,:42%,:4.08,:53%,:1.31,:35%,:52%,:1.1,http://ufcstats.com/fighter-details/d945aae53e3e54e6
Sergei Pavlovich,20-3-0,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",:4.43,:44%,:3.62,:55%,:0.48,:25%,:75%,:0.0,http://ufcstats.com/fighter-details/f14cf73e51b29254
Iony Razafiarison,2-1-0 (1 NC),"5' 3""",145 lbs.,--,,"Dec 23, 1984",:1.20,:42%,:1.40,:53%,:2.00,:50%,:75%,:0.0,http://ufcstats.com/fighter-details/a303588c33d8c5ae
Jacare Souza,26-10-0 (1 NC),"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",:2.53,:47%,:2.83,:62%,:2.57,:39%,:57%,:1.3,http://ufcstats.com/fighter-details/7a703c565ccaa18f
Jiri Prochazka,32-5-1,"6' 3""",205 lbs.,"80""",Orthodox,"Oct 14, 1992",:5.69,:55%,:5.60,:45%,:0.51,:60%,:68%,:0.2,http://ufcstats.com/fighter-details/009341ed974bad72
Goran Reljic,15-8-0,"6' 3""",205 lbs.,"81""",Southpaw,"Mar 20, 1984",:1.69,:37%,:2.69,:59%,:1.69,:50%,:33%,:1.1,http://ufcstats.com/fighter-details/132f860d02953f4c
Rafael Natal,21-9-1,"6' 0""",185 lbs.,"77""",Orthodox,"Dec 25, 1982",:3.10,:47%,:2.48,:57%,:2.55,:34%,:77%,:0.5,http://ufcstats.com/fighter-details/0dba4df5f34d5ff0
Rony Sefo,0-2-0,"5' 9""",225 lbs.,--,Orthodox,"Apr 10, 1972",:0.00,:0%,:0.43,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/d6b68eaf4b68b160
Ryan Tobar,3-3-0,--,155 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/57481f1f10530c61
Richie Smullen,3-1-1,"5' 9""",155 lbs.,"68""",Orthodox,"Aug 17, 1991",:1.98,:77%,:2.26,:65%,:8.49,:66%,:0%,:0.0,http://ufcstats.com/fighter-details/f75c5ca0d91b9115
Johnny Bedford,21-13-1 (1 NC),"5' 10""",135 lbs.,"71""",Orthodox,"Jan 06, 1983",:4.53,:50%,:1.75,:63%,:1.83,:62%,:62%,:0.0,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7
Charlie Campbell,9-3-0,"6' 0""",155 lbs.,"72""",Orthodox,"Jul 03, 1995",:5.23,:51%,:4.17,:55%,:2.45,:36%,:62%,:0.0,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8
Beneil Dariush,23-6-1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",:3.78,:49%,:2.61,:57%,:2.12,:38%,:82%,:0.8,http://ufcstats.com/fighter-details/08af939f41b5a57b
Jeff Terry,2-3-0,"6' 2""",205 lbs.,--,,--,:1.09,:50%,:9.27,:19%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/60f86c449cd31e23
Janay Harding,2-3-0,--,135 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/b9c3ee342eb72100
Isis Verbeek,5-2-0,"5' 4""",115 lbs.,"64""",Orthodox,"Jan 12, 1995",:3.13,:43%,:3.53,:53%,:0.00,:0%,:66%,:0.0,http://ufcstats.com/fighter-details/d6f58b8cd1a6ff52
MarQuel Mederos,11-1-0,"5' 10""",155 lbs.,"69""",Orthodox,"Nov 30, 1996",:4.84,:56%,:2.99,:58%,:0.00,:0%,:83%,:0.0,http://ufcstats.com/fighter-details/e2be0c1a9b886d92
Tracy Cortez,12-2-0,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 10, 1993",:3.79,:49%,:2.84,:57%,:2.19,:47%,:62%,:0.3,http://ufcstats.com/fighter-details/68d4a891e5cf2029
Tsuyoshi Kohsaka,27-19-2,"5' 11""",225 lbs.,--,Orthodox,"Mar 06, 1970",:1.88,:38%,:4.41,:54%,:1.32,:20%,:33%,:0.4,http://ufcstats.com/fighter-details/b76ed59283d3559c
Tabatha Ricci,12-3-0,"5' 1""",115 lbs.,"61""",Orthodox,"Feb 21, 1995",:4.18,:36%,:5.19,:57%,:2.69,:37%,:78%,:0.1,http://ufcstats.com/fighter-details/d25240135aee03e5
Shi Ming,17-6-0,"5' 2""",115 lbs.,"60""",Orthodox,"Nov 14, 1994",:3.12,:36%,:2.92,:53%,:0.81,:30%,:57%,:0.0,http://ufcstats.com/fighter-details/d683f4870742b273
Cesar Arzamendia,8-3-0,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",:5.37,:45%,:5.20,:56%,:7.32,:75%,:0%,:2.4,http://ufcstats.com/fighter-details/49f78022126bf4a4
Danni McCormack,9-2-0,"5' 4""",125 lbs.,"62""",Southpaw,"Mar 15, 1990",:6.93,:51%,:4.53,:60%,:6.00,:42%,:50%,:2.0,http://ufcstats.com/fighter-details/2a9f9db24cd032ba
Noah Thomas,14-7-0,"5' 9""",135 lbs.,--,Orthodox,"Mar 27, 1981",:0.44,:13%,:4.99,:33%,:0.00,:0%,:0%,:1.3,http://ufcstats.com/fighter-details/319c15b8aac5bfde
Demba Seck,10-3-0,"6' 1""",145 lbs.,"74""",Orthodox,"Jul 07, 1993",:1.50,:40%,:5.25,:22%,:0.00,:0%,:60%,:0.0,http://ufcstats.com/fighter-details/b9af9f8834e39d3e
